text,label
"This app is killing my battery. Using more resources than my screen! I have to force stop this app every time I open it to sync, because if I don't, my battery drains! Verizon Moto X 4.4.3",Performance
I thought the work out looked too easy but try to keep up with timing and rest periods and you will find it is actually quite challenging.,Usability
The previous version was better where the details of daily activities were available its not easy to look at individual activities after the update. Nevertheless a good app.,Usability
"After updating the firmware of my s6 manually via odin, the app no longer opens and says that my device is rooted when it's actually not rooted at all and is running official firmware. Im so frustrated right now. I mean how can you say that my device is rooted when its on official firmware and is still recieving OTA. I hope this gets fixed. Thanks",Performance
Good for Health.,Usability
Its absolutly great but after getting my new samsung ( j3 pro 2017 ) I cant seem to find a heart rate moniter.... Can you help ?,Usability
Please can you make Samsung health available on compromised devices I really can't live without this app I haven't rooted my phone I just installed the firmware from Samsung kies and now my phones thinks It is running a custom OS,Performance
Please can you make Samsung health available on compromised devices I really can't live without this app I haven't rooted my phone I just installed the firmware from Samsung kies and now my phones thinks It is running a custom OS,Performance
App sync fails to get real data from Huawei app. Always takes 1 km off of my running session. If I'm running 10km it will displays 9km.,Performance
Been great but all of a sudden stopped tracking my steps. I have 2 step counters on my phone this is usually the one tgat is correct other usually counts about 7 steps to 1 with this app. But my other app says Ive walked 12500 steps and this one says 7.,Usability
There is no way to stop it from working in the background,Usability
There is no way to stop it from working in the background,Usability
For some reason the slow speed replay is not working is that intended,Performance
Most of the time hanging,Performance
i try to sign in but its no not signed tell it acount info not download,Usability
"What a mess! The old version was fine, but this an unusable sprawled out ugly white mess. No landscape and unable to view trends as everything is so far apart.",Usability
Previous version was much easier to use and had better battery life,Performance
Previous version was much easier to use and had better battery life,Usability
Battery drained quickly! Uninstalled...,Performance
"LG, you should not put your sh*tty app on my phone! At least, give me option to remove it!",Security
"It's unreliable. It sometimes connects with other tracking apps, sometimes it just doesn't. GPS tracking is flaky as well. Considering I'm using a Motorola I expected much better.",Security
The new update is not allowing pulse device to sync. Stuck at 82% then force close. Tried reinstall and factory reset without success. Please fix. Running Android KitKat.,Performance
no way to turn off auto hr,Usability
It keeps thinking im riding a bike because i put my phone in the storage space of my sons stroller. I cant even ride a bike.,Usability
"Not only is the new version ugly, it takes much more effort to see your daily steps, calories and distance. Switching to S Health :(",Usability
"Not only is the new version ugly, it takes much more effort to see your daily steps, calories and distance. Switching to S Health :(",Performance
"It's great that you can connect other apps to it. So you don't have to run many apps for counting your steps and... But the it's not that intelligent, even when I use GPS, it can't automatically detect when I'm running, when im not. I was laying on bed, almost for an hour, I've noticed it counted that as a running training with 2000 steps taken. How? I don't have any idea. In fact I hadn't even moved 1cm from where I was.",Performance
Quit working after about a week. Won't track steps or connect to carrot rewards or run tracker anymore,Performance
"What's the point if every month for disables it's own activity tracking? I have it on, so LEAVE IT ON.",Performance
This app is essentially what My Tracks should have been. It's dead simple and tracks everything you would expect. It even does a decent job of tracking your activities when you forget to tell it to start tracking. My only complaint is that it makes it difficult to find your top speed when biking/running.,Usability
Used to love this app but since getting my new gear fit 2 pro it won't connect to it and sync it's steps even though I constantly get those annoying health updates on my watch.,Usability
It's not allowing me to uptown it now for a week. I need to record my progress man,Performance
When I use the app I think it can turn on and my phone turn off,Usability
When I use the app I think it can turn on and my phone turn off,Performance
Why the app asking for birthdate? Threat to personal info. security.,Security
"Not really accurate but I still love it, it has many cool features, I wish it would be more accurate in measuring distance.",Performance
My Steel HR is no longer receiving any notifications. I have all the correct permissions set and the notifications enabled. This is very frustrating. I'm on a Samsung Galaxy S7 Edge. What can I do to get my text/call/calendar notifications back?,Usability
"Having problems with phone now, been about a week or so, makes everything freeze up. Also not linking with gear fit2. Ugh UPDATE spoke to CS said they would send me postage to send in gear fit 2, never did. Attempt #3 double ugh",Performance
"Having problems with phone now, been about a week or so, makes everything freeze up. Also not linking with gear fit2. Ugh UPDATE spoke to CS said they would send me postage to send in gear fit 2, never did. Attempt #3 double ugh",Performance
In comparison to fitbit for 6000 steps . This recorded just 1000,Performance
The App is not opening with the error message popping up as &quot;This device cannot open on a rooted device....&quot; My device is NOT rooted and still this bizarre error is coming up. Please fix this issue.,Usability
Often this application doesn't work if I open another application. Beside that the application is very good,Usability
Battery hog! Ate 30% battery in 6h today.,Performance
It's a great idea but it doesn't really work for me,Usability
Samsung health app is better and easier to use.,Usability
Samsung health app is better and easier to use.,Usability
This application is unable to work in my country,Usability
Not accurate with steps count,Usability
Not accurate with steps count,Performance
App is constantly running in the background. It kills my phone.,Performance
App is constantly running in the background. It kills my phone.,Performance
App is constantly running in the background. It kills my phone.,Performance
"Horribly annoying push notifications. 'You weren't as active this week', actually I was more active; I just don't need to bring my phone with me every run. This is a standard free app, I want it for tracking my steps/activities that is all. These motivational push notifications do the opposite. Don't make these settings standard",Usability
"I really enjoy the app but it is sending me two weekly summaries, I get so confuse with it",Usability
"I really enjoy the app but it is sending me two weekly summaries, I get so confuse with it",Performance
"I really enjoy the app but it is sending me two weekly summaries, I get so confuse with it",Usability
"I really enjoy the app but it is sending me two weekly summaries, I get so confuse with it",Usability
Disappointed say the least. if u by accident u uninstall all data is lost I had mega personal info I used daily all gone. Not going bother useing again. Really angry?,Usability
"This app worked great for a few days then stopped displaying the number of steps I was doing, just 4 fat zeroes at the top. I know it is counting them because I have it connected to Bounts and they show up on there. The timeline is always two days behind as well. Useless.",Performance
"It's good app for fitness , but measure problem is it that it drain too much battery",Performance
"Covers only the basic functionalities. Let me be specific: -Does not monitor your heart rate while you're running (it is silly to expect the user to manually monitor the heart rate by navigating in the watch apps ALL THE WHILE RUNNING!) -Does not display pace (minutes per km) in the stats AFTER the activity is over. It does display the pace WHILE running. Basically, I can't even track if my pace is improving.",Security
"My only issue is when I'm not doing anything, it says I am. Is there a way to fix this?",Usability
Works well and lots of features. GUI is kinda a mess with respect to organizing so much data and kinds of data though.,Usability
Works well and lots of features. GUI is kinda a mess with respect to organizing so much data and kinds of data though.,Usability
Works well and lots of features. GUI is kinda a mess with respect to organizing so much data and kinds of data though.,Usability
Works well and lots of features. GUI is kinda a mess with respect to organizing so much data and kinds of data though.,Usability
Works well and lots of features. GUI is kinda a mess with respect to organizing so much data and kinds of data though.,Usability
Works well and lots of features. GUI is kinda a mess with respect to organizing so much data and kinds of data though.,Usability
"Why does connecting to Samsung account ask for accessing contacts? Why can I just not login and sync my health info like any other app without giving access to all of my contacts? Also, this app has become very cluttered with so many unnecessary things. I suggest have a simple mode where users can only track necessary and commong stuff.",Security
Why is the weight graph so retarded? Keep the same scale for god sake!,Usability
Nice update...?....But accuracy is not upto mark....,Performance
I don't like it seriously,Usability
New skin is a step backwards. Who thought making data lines really faint and adding stats that are inaccurate to the point of being wrong was good UX? Much preferred the withings version.,Usability
New skin is a step backwards. Who thought making data lines really faint and adding stats that are inaccurate to the point of being wrong was good UX? Much preferred the withings version.,Usability
Graphs thats are not clear what you have achieved for the day and use too many colours that make it confusing. Please hire a ux designer to solve this horrible app,Usability
Graphs thats are not clear what you have achieved for the day and use too many colours that make it confusing. Please hire a ux designer to solve this horrible app,Usability
I tested it to see how accurate it was. Took about 20 steps and it didn't count a single one. No one it's count is 500 behind Samsung's Step Counter. Now I will not get my Scene points with Carrot because Fit is not counting my steps correctly. This is extremely upsetting.,Performance
Super great if your hands are the size of the incredible hulk. Useless.,Usability
It won't let me submit my date of birth so I can customize my profile to fit me.,Usability
you could improve the accuracy,Performance
it doesn't measure heart rate it takes alot of time and doesn't stop measuring at the end there is no result,Performance
"Don't like new design at all. Everything is too big. Doesn't look like Android app, more like windows phone app...",Usability
"Don't like new design at all. Everything is too big. Doesn't look like Android app, more like windows phone app...",Usability
Samsung j2 mobile full fake mobile,Performance
Why can't I delete this app,Usability
"I think the scale is great. I also have a BP monitor and a Go activity tracker. Many of the extra features such as adding friends are connecting other apps are not easy to find or figure out. I feel it would be best to put all of the configurable app settings under settings. Instead, they are kind of hidden in different locations in the app. Also, adding two way data sharing with Google Fit and enabling Fit activity tracking would be a desirable feature.",Usability
"I think the scale is great. I also have a BP monitor and a Go activity tracker. Many of the extra features such as adding friends are connecting other apps are not easy to find or figure out. I feel it would be best to put all of the configurable app settings under settings. Instead, they are kind of hidden in different locations in the app. Also, adding two way data sharing with Google Fit and enabling Fit activity tracking would be a desirable feature.",Usability
Its not running,Performance
Can't seem to integrate data from SHealth to Sleep as Android or Under Armour to indicate sleep stages,Usability
I used to like this app. Now everytime I try to use it it hangs up my phone. It takes too long to input or record my workouts or to even push start on a workout. It's worthless if it's going to take that long. I do hope you read these inputs.,Performance
Fitness wearables user of 3 years+. Bluetooth saps phone battery around -10% every 30-60mins. You need to turn Bluetooth off and only turn it on to sync which defeats having wireless comms \(**)/. Empty white screen and long long long waits for data to sync. Often several days behind on own Withing's data and partner apps both in the Withing's app and web portal. After 12 months+ of this and no performance improvements I can't wait to get a new fitness monitor from anyone but Withing's and ditch this.,Performance
"So, overall I really like the app :) it's very useful with a Samsung watch. I'm not sure if I'm doing something wrong, but with the &quot;measure stress&quot; feature, it seems that it always stops at 95% for me, I've tried maybe 5 times now and every time it just sticks on 95% :/ I don't remember it taking this long on a previous version of Samsung health, but maybe it's user error? I really don't know ^^;",Performance
Amazing I love every single thing about it x me and my mate love it xx keep up he good work Samsung xx,Usability
Is updating my steps count ever so slowly. It has been doing so for at least 2 days straight. The rest was good and relatable :),Performance
Updated app is unusable. Just a spinner with a login title. No prompt.,Usability
The new design is great but it's lacking the detailed information the old app had. Would also like to see how many flights of steps I have done each day. More features would be great.,Usability
Works Excellent but take up 2much space.!!!,Performance
Works Excellent but take up 2much space.!!!,Usability
Works Excellent but take up 2much space.!!!,Performance
"The app had way too many ads pop up when not using it. Also, changed the way to unlock my phone with an ad on top. It did track steps, but have to have your phone on you 24/7 to be accurate. Not worth all the ads",Usability
"The app had way too many ads pop up when not using it. Also, changed the way to unlock my phone with an ad on top. It did track steps, but have to have your phone on you 24/7 to be accurate. Not worth all the ads",Usability
It was at least a 4 star app until today. After I updated the only food items that were save to database were food items I manually put into the app.,Usability
It was at least a 4 star app until today. After I updated the only food items that were save to database were food items I manually put into the app.,Usability
The app is very simple and is like a virtual doctor in a sense you can easily know what you have by answering simple questions ada (the ir in this app) provides and you could add other things like head ache or funny nose it can be used for advanced things like tosonitise but is also great with things such as a stomache bug or a cold yes j do agree with people thinking there should be an agre or gender option both to be honest most of the things on here are genderfluid//genderless as both men and women could have these problems,Performance
not work,Performance
not work,Performance
I like the clean interface but I think sleep analysis can be improved upon. Maybe more details and graphs? Good app.,Usability
Need a watch app for android wear!!,Usability
"Passive aggressive app! If you leave your phone for any length of time you will get &quot;you haven't moved for the last 2 hours...&quot; Well, my phone hasn't moved. When you do have your phone, &quot;Good job! You've taken more steps today than yesterday...&quot; Not a great way to motivate someone.",Usability
"Passive aggressive app! If you leave your phone for any length of time you will get &quot;you haven't moved for the last 2 hours...&quot; Well, my phone hasn't moved. When you do have your phone, &quot;Good job! You've taken more steps today than yesterday...&quot; Not a great way to motivate someone.",Usability
"Nice app but the continuous reminders and notifications, even after I've disabled notifications, is just irritating. The usual where an app developer feels they know better what the user wants, notifications and badge icons are great but give me the option of removing them if I choose!",Usability
"Don't want it, can't uninstall, uses a lot more of my phone's battery and memory than necessary for an app I don't use. I'm sure it's just fantastic for people who actually want the app, but I'm not one of those people.",Usability
"I used to think this app was better than Mapmy walk. Lately, it just does whatever it wants. The updates have made it impossible for me to figure out how to recreate settings. Recently, it just wiped itself out and obliterated all the stored data. I did nothing to ask for this. Just woke up one day and everything changed. Also, I often have to restart my phone in order to get the step app to kick in in the morning. I usually like to start the walking app, and let it tell me how far I walked and what pace. Now all it will do is tell me I walked 0.0 miles but it will tell me what pace I walked. It also has some preconceived notion of what my workout is, which I can't figure out how to change. So, to recap. I absolutely used to love it. Now I hated it. but then I got good customer care support and I was happy however this week, again I updated and the app is wonky again.",Performance
This update version sucks I don't like or understand it. I really enjoyed the latest version. I unstalled google fit and it really help me and encourage me to keep going. ??,Usability
This update version sucks I don't like or understand it. I really enjoyed the latest version. I unstalled google fit and it really help me and encourage me to keep going. ??,Usability
This update version sucks I don't like or understand it. I really enjoyed the latest version. I unstalled google fit and it really help me and encourage me to keep going. ??,Usability
Visuals lacking.. Good text info,Usability
Visuals lacking.. Good text info,Usability
Tracking worse than before,Performance
Can not enable location report in China...,Performance
Can't see the exact activities clearly like before.,Usability
Too heavy app,Performance
Before the update I saw steps and calories together. Now it's one or the other. I'm disappointed.,Usability
My Pixel's step counter keeps overwriting my watches; Which is absolutely pointless considering my phone's sat on a desk and has minimal steps counted. Completely pointless and it never used to be like this on my GS7.,Performance
Don't buy the scale. Don't get the app. Support takes days and for something fitness relates where everyday counts that is unacceptable. When you do get support the suggestions don't work. I'll try Tanita products.,Usability
All of my runs from mapmyrun show as hundreds of miles!,Usability
Messy interface and much of the data you can view is useless. Much better apps out there.,Usability
Messy interface and much of the data you can view is useless. Much better apps out there.,Usability
"Utter garbage, just like the scales. The app is totally confusing, doesn't give a clear insight into progress. Awful when compaired to the Fitbit application, one saving grace being able to sync data to Fitbit. The scales randomly switch on, changing the measurement units, such a poor experience compaired to Fitbit.",Performance
App looks pretty but isn't accurate at all.,Performance
Sold my Fitbit scale to pay for my Withings tracker. Their health and fitness integration is fabulous. Can't wait to add the blood pressure cuff and scale!,Performance
Sold my Fitbit scale to pay for my Withings tracker. Their health and fitness integration is fabulous. Can't wait to add the blood pressure cuff and scale!,Usability
More cool UI/UX needed,Usability
"Only annoying thing is that for some reason the display on my Asus Zenwatch2 keeps changing, on its own, requiring me to go in and change it back to my preferred display. Not a huge thing, but weird and annoying.",Performance
Try it,Usability
How can I know my weight is increasing or reducing????,Usability
How can I know my weight is increasing or reducing????,Usability
Pace not accurate. It clocked me at 13.5 mph.,Usability
"meh, could be better.app takes hours to update",Performance
"meh, could be better.app takes hours to update",Performance
"meh, could be better.app takes hours to update",Performance
"meh, could be better.app takes hours to update",Performance
"meh, could be better.app takes hours to update",Performance
"meh, could be better.app takes hours to update",Performance
"meh, could be better.app takes hours to update",Performance
Latest version app as of 12/8/16 works well. Just need to sort out swimming tracking. If you swim too fast it doesn't track.,Performance
Doesn't ask for permissions and doesn't say what permissions are required. As a result it doesn't do anything for me. Uninstalling.,Security
Doesn't ask for permissions and doesn't say what permissions are required. As a result it doesn't do anything for me. Uninstalling.,Security
Doesn't ask for permissions and doesn't say what permissions are required. As a result it doesn't do anything for me. Uninstalling.,Security
"Lg privacy policy allows for reselling of both your medically relevant and non-relevant data to insurance companies. You might be fat or have an undiagnosed heart condition, either way, Higher Risk = Higher Premiums. Blame LG, Fitbit, Verizon and your own ignorance.",Security
"Lg privacy policy allows for reselling of both your medically relevant and non-relevant data to insurance companies. You might be fat or have an undiagnosed heart condition, either way, Higher Risk = Higher Premiums. Blame LG, Fitbit, Verizon and your own ignorance.",Security
"Lg privacy policy allows for reselling of both your medically relevant and non-relevant data to insurance companies. You might be fat or have an undiagnosed heart condition, either way, Higher Risk = Higher Premiums. Blame LG, Fitbit, Verizon and your own ignorance.",Security
It won't update anything on the app... Can't see my sleep cycles or anything.. Makes me want to delete the app.,Usability
It won't update anything on the app... Can't see my sleep cycles or anything.. Makes me want to delete the app.,Performance
"Quit putting retarded apps on my phone, that I can't uninstall.",Usability
"I loved this app until the recent update! Why did rhey make it harder to see my steps, miles, and calories burned! It all used to be there at the swipe of a screen! Now I have to open it and I still only get my steps! It ruined the app. Now I will have ro go third party and I didn't want that!",Usability
No share result option. Significant battery drain,Performance
Something changed. For the last few days this app has stopped recording my steps. Seems to be a problem since this activity tracking feature was added. This is why I gave it a low rating. UPDATE: 6/29/2017 - Everything works fine now. Putting the rating back up to 5 stars.,Usability
I just want to share my fitness data with one contact and is unable to do so unless i give all my contacts data (plus SMS plus calls plus files). C'mon Samsung.,Usability
I wish I could delete this app but it is forced to stay with this package.,Usability
Ok so far...still working out how it works...look good,Usability
Drained the LG20 battery very fast and made it unstable. Had to uninstall.,Performance
Drained the LG20 battery very fast and made it unstable. Had to uninstall.,Performance
Drained the LG20 battery very fast and made it unstable. Had to uninstall.,Performance
The app has stopped working,Usability
Very bright very nice,Security
"I've tried on both my Nexus 7 & Droid Razr M, but neither will sync data at all, even though it's described that it should happen automatically. All of my stats sit at 0, though they are different on the actual Pulse device. Please update, developer.",Performance
"The app has been updated, but the in app and site help content has not. I'm trying to find unknown measurements, but it's nowhere to be seen.",Usability
Such a great app!,Usability
"How do I disable the Bluetooth connection notifications on my s6? It's not in the gear fit manager on the phone or on the watch settings and I can't find anything in app settings? I have the gear fit model sm-r350 and galaxy s6 phone sm-g920f with android 7. The annoying beep everytime it goes in or out of Bluetooth range, even in mute mode, has woken my baby up a few times. Apart from having Bluetooth permanently turned off what do you suggest?",Usability
"I hate the new changes. Before the updates, you could easily look at the summary for different days. Now, to look at other days, you can only see timeline views. I'd rather see the summary.",Usability
"Forced download, not very effective, too many useless notiffications",Usability
A good app EXCEPT it is a major battery drain. Runs continuously. Uninstalled,Performance
A good app EXCEPT it is a major battery drain. Runs continuously. Uninstalled,Performance
Can be a little erratic at times but for the most part does what it promises.,Usability
Battery consumption of my phone rate more than doubled since installing this.,Performance
Battery consumption of my phone rate more than doubled since installing this.,Performance
Battery consumption of my phone rate more than doubled since installing this.,Performance
Please make it usable on Android wear!,Usability
Still takes ages to start whenever it starts.,Usability
Still takes ages to start whenever it starts.,Performance
This app has good features but it kills my battery faster than the rest of my apps combined in 6 hours it used 23% of my battery on galaxy s4 the rest of my apps combined were 18% most of which was the screen. Pedometer is the one running and needs major work to stop killing the battery since Uninstall my battery lasts twice as long.,Performance
"Utterly useless, app tells me 1 thing, watch tells me another. This app is entirely pointless, I'm better off using the web app.",Usability
"Battery drain on LG G6, having to force close the app all the time for it to stop",Usability
"Battery drain on LG G6, having to force close the app all the time for it to stop",Performance
"I lost 30 lbs since buying my scale 6 years ago. I always disliked that the weight graph used my highest weight at the top of the scale. That is still there, but now the bottom is 100 lbs below my weight. All I get is a wiggly line across the graph. Let ME choose the upper and lower limits of the scale. The latest update also took away the double tap to expand the graph to 1 month and 1 week. Put it back. The weight graph does not appear in the screen captures above. I guess you're not proud of it either.",Usability
"I lost 30 lbs since buying my scale 6 years ago. I always disliked that the weight graph used my highest weight at the top of the scale. That is still there, but now the bottom is 100 lbs below my weight. All I get is a wiggly line across the graph. Let ME choose the upper and lower limits of the scale. The latest update also took away the double tap to expand the graph to 1 month and 1 week. Put it back. The weight graph does not appear in the screen captures above. I guess you're not proud of it either.",Usability
It's as if it needs to connect to the Internet after every single button click. It's awful.,Usability
It's as if it needs to connect to the Internet after every single button click. It's awful.,Usability
Worse by far. Looks like not even maintained,Performance
very nice app..just one thing i wish to say that..if possible please also include the c acuity test..for vison testing if possible..,Usability
This app is great but language thoda hindi b hota to achha hota,Usability
"The update was nice, showing calories and distance.. but activities that was tracked is changed later making it tough to keep a log. At times no activities are tracked even with high accuracy location. Sending feedback looking for answers didn't help as well.",Performance
The GPS in this app is inaccurate. That's why you will get wrong distant and route. The pedometer won't count if you walk only in a small area. And you can't edit your weight.,Usability
The biggest problem is the lag and how much processing power it takes to run this app. I also would like to be able to choose any workout on my Android wear instead of having to open the app on my phone.,Performance
Hogging too much space on my limited phone memory S5. Need to allow transfer to sd card,Performance
Wristband holder does not protect the device :(,Security
"Crashes on sync. Will not open since latest update, doesnt send data to google health. HTC M9 EE UK latest build release",Performance
The new update killed the app... As soon as I stop an activity I have to exit the app and relaunch it!!! Very Very dissatisfied :(,Usability
The apps integration is supremely annoying. And thinks ive reached my goals just driving anywhere,Usability
Suddenly it stopped tracking my run even after manually activating it! Fix it,Performance
The font isn't that big hard to read. Also no helpful information on how to acquire information with the calculators. In my opinion it is not user friendly!,Usability
The font isn't that big hard to read. Also no helpful information on how to acquire information with the calculators. In my opinion it is not user friendly!,Usability
The font isn't that big hard to read. Also no helpful information on how to acquire information with the calculators. In my opinion it is not user friendly!,Usability
It doesn't work through a thick hard shell case,Performance
This thing is eating up my battery. The latest update. Pixel 2,Performance
This thing is eating up my battery. The latest update. Pixel 2,Performance
Uses more battery then the screen. I have asked for help and receive no replies,Performance
Whoa! what happened to the active minutes section? Is it in a different location or gone altogether? please advise.,Usability
Whoa! what happened to the active minutes section? Is it in a different location or gone altogether? please advise.,Usability
Whoa! what happened to the active minutes section? Is it in a different location or gone altogether? please advise.,Usability
This app crashes constantly when trying to input a new user.,Usability
"Can't get rid of step notification and if I hide it, android oreo gives a constant notification that the app is running in the background. Go back to the way it was or remove the constant battery usage!",Usability
"The app had been working fine, yes it was temperamental, requiring a lot of refreshing to get data to sync properly but now it will not receive my measurements from the scale. I have tried everything, uninstalling the scale, the app, unpairing from bluetooth then reinstalling from the bottom up but it still fails to display my data. Epic fail by Withings!!!! Stop just catering for Apple Users, this scale cost me mega bucks I expect it to work as described!",Performance
"I really enjoy this app, but if it keeps giving me excessive notifications about this damn global challenge, I am going to disable it. 5 in less than that minutes? That's near spam!",Usability
"I really enjoy this app, but if it keeps giving me excessive notifications about this damn global challenge, I am going to disable it. 5 in less than that minutes? That's near spam!",Usability
"I really enjoy this app, but if it keeps giving me excessive notifications about this damn global challenge, I am going to disable it. 5 in less than that minutes? That's near spam!",Usability
The app is good and I use it to monitor my heart rate but the recent in the bottom right is cut off on my moto 360. Needs some way to fit round watches better.,Usability
"Why doesn't the enable high accuracy during exercises feature ACTUALLY do that on my Nexus 6p? Sometimes it seems to... Other times, it doesn't. And I have to press that button each time I launch the app for a workout!.... What's going on with this?",Usability
Freezing my phone up,Performance
I can't use it because it shows a message that my S7 Edge is rooted but my ram is official not rooted. Nobody can help me?,Security
I can't use it because it shows a message that my S7 Edge is rooted but my ram is official not rooted. Nobody can help me?,Usability
Uses too much power since last update. Biggest drain of all my apps,Performance
Hard to find stuff. Old app 1000000% better!! Only had watch for a month now starting to look for new option when battery run out.,Performance
Hard to find stuff. Old app 1000000% better!! Only had watch for a month now starting to look for new option when battery run out.,Performance
Why does the update need access to my SMSes and my phone ID etc?,Security
I have liked GF in the past but lately it won't sync with BellaBeat nor MFP. Also it's not tracking steps or activities within the app itself. Please fix. Very frustrated.,Usability
Great app but battery hog and usually accurate but ever since last update it doesnt log nearly all activity,Performance
"Temperature, luminosity and noise are no longer displayed. Everything used to work perfectly fine in the old Withings app...",Performance
"I was hoping for this to be a good tracker, and it would be, if only you could disable auto-tracking without disabling distance tracking, as it tracks me as walking when I'm sitting in the bus... Wouldn't even use it if I got paid for it.",Security
Need a way to turn off notifications.,Usability
"The app stuck on check your user data screen. Can't get pass that, save option does nothing gives short notification please wait while we refresh your data. Please fix! Hey all fixed with new update!",Usability
"Just like a whole lot of people, I am confined to a wheelchair ?",Usability
